participant_id,participant_group,from_turn,to_turn,cosine_distance
P1,FD,1,2,0.8313330733152546
P1,FD,2,3,0.367200378271233
P1,FD,3,4,0.8083267578989186
P1,FD,4,5,0.8512697479040716
P10,FD,1,2,0.7166183729124243
P11,FI,1,2,0.6294046500986047
P11,FI,2,3,0.9147269035650738
P11,FI,3,4,0.862995893835885
P12,FI,1,2,0.4465192548967982
P12,FI,2,3,0.33235415144057345
P13,FI,1,2,0.7123151263643295
P13,FI,2,3,0.8016524091727667
P13,FI,3,4,0.8350766080758459
P13,FI,4,5,0.8316175950454381
P14,FD,1,2,0.3816485547575792
P15,FI,1,2,0.5418544377436187
P15,FI,2,3,0.9066502086657355
P16,FI,1,2,0.009782660763399398
P16,FI,2,3,0.40156614646985034
P16,FI,3,4,0.5053108249976406
P17,FI,1,2,0.5988764861338629
P17,FI,2,3,0.7653683967334388
P18,FD,1,2,0.9512908827136559
P19,FD,1,2,0.7734475602816593
P19,FD,2,3,0.7970291691067088
P2,FD,1,2,0.610320190666856
P2,FD,2,3,0.8212062711604868
P2,FD,3,4,0.8691016874921355
P2,FD,4,5,0.7445569660592928
P2,FD,5,6,0.7982616223990886
P2,FD,6,7,0.8434095522673797
P2,FD,7,8,0.5960821552816301
P2,FD,8,9,0.7582088232268336
P20,FI,1,2,0.33658815414369425
P20,FI,2,3,0.3570271483257813
P20,FI,3,4,0.34940604614479964
P21,FD,1,2,0.5562359559809156
P22,FD,1,2,0.38103693683283946
P23,FI,1,2,0.5252679898246917
P23,FI,2,3,0.33046438196807193
P23,FI,3,4,0.21672032021415355
P26,FI,1,2,0.49479995622002493
P27,FI,1,2,0.30795421828932645
P28,FD,1,2,0.5516203786345024
P28,FD,2,3,0.8534046357011911
P29,FI,1,2,0.840486567934447
P29,FI,2,3,0.9189519656490599
P29,FI,3,4,0.9562548401095092
P29,FI,4,5,0.4912061367936623
P29,FI,5,6,0.6241075309096897
P29,FI,6,7,0.6621511430575456
P29,FI,7,8,0.7924757928996806
P29,FI,8,9,0.6773638723846986
P3,FI,1,2,0.27370813033147356
P4,FD,1,1,0.38999773140897853
P4,FD,1,2,0.8302024129270128
P4,FD,2,3,0.6455121408519906
P5,FI,1,2,0.5948548090519592
P5,FI,2,3,0.819302179230446
P5,FI,3,4,0.9417511127058388
P5,FI,4,5,0.6425780698210508
P5,FI,5,6,0.5577624125686187
P5,FI,6,7,0.9102744604118111
P5,FI,7,8,0.5198646945567333
P5,FI,8,9,0.7713848360279537
P6,FI,1,2,0.5695126249025895
P7,FD,1,2,0.7833864887508565
P7,FD,2,3,0.6112271641015165
P7,FD,3,4,0.5652470932136943
P7,FD,4,5,0.8286330159133368
P7,FD,5,6,0.803666361357437
P7,FD,6,7,0.8221666250317831
P7,FD,7,8,0.4949621330760441
P7,FD,8,9,0.7528268400754223
P7,FD,9,10,0.8142012135347007
P7,FD,10,11,0.5899509150581143
P8,FI,1,2,0.754629410006298
P9,FD,1,2,0.49202847104569447
P9,FD,2,3,0.49091458861381154
P9,FD,3,4,0.5447048246340686
P9,FD,4,5,0.34135705233575686
P9,FD,5,6,0.6590534762761395
P9,FD,6,7,0.02787705771980553
