participant_group,turn_num,mean_char,std_char,count,mean_char_no_space
FD,1,201.69230769230768,123.01448736861892,13,155.15384615384616
FD,2,100.25,103.07290006239626,12,77.5
FD,3,37.57142857142857,41.07658352742733,7,28.285714285714285
FD,4,82.5,80.74858099888402,4,63.5
FD,5,60.75,70.34379858949899,4,45.25
FD,6,125.33333333333333,140.01547533516907,3,98.33333333333333
FD,7,111.0,167.6872088145068,3,86.66666666666667
FD,8,29.0,7.0710678118654755,2,23.0
FD,9,15.0,9.899494936611665,2,12.0
FD,10,319.0,0.0,1,254.0
FD,11,47.0,0.0,1,36.0
FI,1,282.3333333333333,175.05373324727904,15,216.33333333333334
FI,2,178.73333333333332,206.42551983244522,15,138.06666666666666
FI,3,156.3,149.09732093874493,10,121.8
FI,4,115.42857142857143,182.33929649864024,7,87.14285714285714
FI,5,22.666666666666668,25.383721817994566,3,19.0
FI,6,29.5,6.363961030678928,2,24.5
FI,7,89.0,97.58073580374356,2,66.0
FI,8,30.5,6.363961030678928,2,24.0
FI,9,75.5,64.34671708797582,2,60.0
