participant_id,participant_group,geft_score,total_turns,mean_char,total_char,mean_char_no_space,n_prompts,n_refinement,n_selection,n_initial,n_reference_img,refinement_ratio
P1,FD,14,5,90.0,450,71.0,5,4,0,1,1,0.8
P10,FD,10,2,98.5,197,75.5,2,1,0,1,0,0.5
P11,FI,16,4,80.75,323,62.25,4,3,0,1,0,0.75
P12,FI,18,3,367.0,1101,288.3333333333333,3,2,0,1,0,0.6666666666666666
P13,FI,17,5,151.2,756,116.6,5,4,0,1,0,0.8
P14,FD,9,2,300.0,600,226.5,2,1,0,1,1,0.5
P15,FI,16,3,98.66666666666667,296,74.66666666666667,3,2,0,1,0,0.6666666666666666
P16,FI,17,4,574.25,2297,435.75,4,3,0,1,0,0.75
P17,FI,17,3,95.0,285,74.33333333333333,3,2,0,1,1,0.6666666666666666
P18,FD,14,2,113.5,227,84.0,2,1,0,1,0,0.5
P19,FD,15,3,115.66666666666667,347,91.0,3,2,0,1,0,0.6666666666666666
P2,FD,15,9,22.444444444444443,202,17.77777777777778,9,5,3,1,0,0.5555555555555556
P20,FI,18,4,95.25,381,73.0,4,3,0,1,0,0.75
P21,FD,12,2,183.5,367,139.5,2,1,0,1,0,0.5
P22,FD,12,2,290.0,580,226.0,2,1,0,1,2,0.5
P23,FI,18,4,222.25,889,168.75,4,3,0,1,0,0.75
P26,FI,17,2,158.0,316,120.5,2,1,0,1,0,0.5
P27,FI,17,2,485.0,970,380.5,2,1,0,1,0,0.5
P28,FD,15,3,201.33333333333334,604,157.66666666666666,3,2,0,1,0,0.6666666666666666
P29,FI,17,9,69.33333333333333,624,55.888888888888886,9,8,0,1,1,0.8888888888888888
P3,FI,16,2,132.5,265,101.0,2,1,0,1,2,0.5
P4,FD,10,3,30.25,121,24.25,4,2,0,2,2,0.5
P5,FI,16,9,57.44444444444444,517,44.111111111111114,9,8,0,1,2,0.8888888888888888
P6,FI,17,2,319.0,638,239.0,2,1,0,1,0,0.5
P7,FD,8,11,93.81818181818181,1032,73.45454545454545,11,10,0,1,3,0.9090909090909091
P8,FI,18,2,73.0,146,57.0,2,1,0,1,0,0.5
P9,FD,12,7,156.71428571428572,1097,118.0,7,6,0,1,0,0.8571428571428571
