group,type,keyword,count
FI,context,사용,108
FI,context,학교,88
FI,context,건물,65
FI,context,사용자,61
FI,context,캠퍼스,52
FI,context,상황,38
FI,context,공간,27
FI,context,스타일,26
FI,context,느낌,22
FI,context,깔끔,14
FI,context,미니멀,9
FI,context,모던,8
FI,context,강의실,8
FI,context,현실,6
FI,context,배경,4
FI,context,자연,4
FI,context,실내,2
FI,context,편의,2
FI,context,분위기,1
FI,object,디자인,59
FI,object,기능,52
FI,object,화면,42
FI,object,지도,40
FI,object,키오스크,29
FI,object,형태,27
FI,object,버튼,20
FI,object,멀티탭,14
FI,object,패드,10
FI,object,콘센트,8
FI,object,줄,7
FI,object,기기,6
FI,object,가로,6
FI,object,레일,6
FI,object,디바이스,5
FI,object,세로,4
FI,object,화살표,4
FI,object,충전,4
FI,object,구조,3
FI,object,모양,3
FI,object,제품,2
FI,object,천장,2
FI,object,색상,1
FD,context,학교,43
FD,context,사용,27
FD,context,캠퍼스,22
FD,context,건물,22
FD,context,스타일,15
FD,context,깔끔,13
FD,context,미니멀,13
FD,context,느낌,11
FD,context,상황,8
FD,context,분위기,5
FD,context,야외,5
FD,context,공간,5
FD,context,불편,4
FD,context,현실,4
FD,context,배경,4
FD,context,사용자,4
FD,context,편의,4
FD,context,편리,4
FD,context,강의실,2
FD,context,모던,2
FD,context,심미,2
FD,context,인테리어,2
FD,context,감성,2
FD,context,실내,2
FD,context,트렌디,2
FD,context,장소,2
FD,context,따뜻,1
FD,object,디자인,80
FD,object,형태,40
FD,object,줄,25
FD,object,버튼,21
FD,object,기능,17
FD,object,천장,15
FD,object,충전,11
FD,object,크기,10
FD,object,멀티탭,8
FD,object,제품,7
FD,object,무선,6
FD,object,키오스크,6
FD,object,구조,6
FD,object,화살표,6
FD,object,지도,5
FD,object,모양,5
FD,object,레일,4
FD,object,표지판,4
FD,object,색상,4
FD,object,세로,3
FD,object,화면,3
FD,object,기기,2
FD,object,콘센트,2
FD,object,가로,2
FD,object,소재,2
FD,object,발열,2
FD,object,곡선,2
FD,object,재질,2
FD,object,색깔,2
FD,object,USB,1
FD,object,패드,1
