prompt_id,participant_id,participant_group,turn_num,context_kw_count,object_kw_count,context_ratio,object_ratio
prompt_01,P1,FD,1,12,28,0.3,0.7
prompt_02,P1,FD,2,0,0,,
prompt_03,P1,FD,3,0,4,0.0,1.0
prompt_04,P1,FD,4,4,19,0.17391304347826086,0.8260869565217391
prompt_05,P1,FD,5,2,6,0.25,0.75
prompt_06,P2,FD,1,0,4,0.0,1.0
prompt_07,P2,FD,2,2,10,0.16666666666666666,0.8333333333333334
prompt_08,P2,FD,3,0,2,0.0,1.0
prompt_09,P2,FD,4,0,4,0.0,1.0
prompt_10,P2,FD,5,2,2,0.5,0.5
prompt_11,P2,FD,6,4,0,1.0,0.0
prompt_12,P2,FD,7,3,2,0.6,0.4
prompt_13,P2,FD,8,2,0,1.0,0.0
prompt_14,P2,FD,9,0,0,,
prompt_15,P3,FI,1,17,15,0.53125,0.46875
prompt_16,P3,FI,2,6,10,0.375,0.625
prompt_17,P4,FD,1,11,4,0.7333333333333333,0.26666666666666666
prompt_17,P4,FD,1,8,7,0.5333333333333333,0.4666666666666667
prompt_18,P4,FD,2,0,6,0.0,1.0
prompt_19,P4,FD,3,0,2,0.0,1.0
prompt_20,P5,FI,1,6,4,0.6,0.4
prompt_21,P5,FI,2,0,2,0.0,1.0
prompt_22,P5,FI,3,12,8,0.6,0.4
prompt_23,P5,FI,4,0,0,,
prompt_24,P5,FI,5,0,0,,
prompt_25,P5,FI,6,0,0,,
prompt_26,P5,FI,7,6,2,0.75,0.25
prompt_27,P5,FI,8,0,2,0.0,1.0
prompt_28,P5,FI,9,8,8,0.5,0.5
prompt_29,P6,FI,1,14,14,0.5,0.5
prompt_30,P6,FI,2,16,10,0.6153846153846154,0.38461538461538464
prompt_31,P7,FD,1,5,8,0.38461538461538464,0.6153846153846154
prompt_32,P7,FD,2,0,2,0.0,1.0
prompt_33,P7,FD,3,0,2,0.0,1.0
prompt_34,P7,FD,4,10,10,0.5,0.5
prompt_35,P7,FD,5,0,2,0.0,1.0
prompt_36,P7,FD,6,4,6,0.4,0.6
prompt_37,P7,FD,7,5,4,0.5555555555555556,0.4444444444444444
prompt_38,P7,FD,8,4,4,0.5,0.5
prompt_39,P7,FD,9,0,2,0.0,1.0
prompt_40,P7,FD,10,16,10,0.6153846153846154,0.38461538461538464
prompt_41,P7,FD,11,0,4,0.0,1.0
prompt_42,P8,FI,1,0,0,,
prompt_43,P8,FI,2,4,0,1.0,0.0
prompt_44,P9,FD,1,0,8,0.0,1.0
prompt_45,P9,FD,2,0,8,0.0,1.0
prompt_46,P9,FD,3,0,8,0.0,1.0
prompt_47,P9,FD,4,0,0,,
prompt_48,P9,FD,5,0,8,0.0,1.0
prompt_49,P9,FD,6,6,12,0.3333333333333333,0.6666666666666666
prompt_50,P9,FD,7,6,14,0.3,0.7
prompt_51,P10,FD,1,2,2,0.5,0.5
prompt_52,P10,FD,2,0,0,,
prompt_53,P11,FI,1,4,4,0.5,0.5
prompt_54,P11,FI,2,8,8,0.5,0.5
prompt_55,P11,FI,3,0,0,,
prompt_56,P11,FI,4,0,2,0.0,1.0
prompt_57,P12,FI,1,16,4,0.8,0.2
prompt_58,P12,FI,2,30,12,0.7142857142857143,0.2857142857142857
prompt_59,P12,FI,3,28,12,0.7,0.3
prompt_60,P13,FI,1,28,14,0.6666666666666666,0.3333333333333333
prompt_61,P13,FI,2,0,2,0.0,1.0
prompt_62,P13,FI,3,12,12,0.5,0.5
prompt_63,P13,FI,4,0,2,0.0,1.0
prompt_64,P13,FI,5,2,0,1.0,0.0
prompt_65,P14,FD,1,6,8,0.42857142857142855,0.5714285714285714
prompt_66,P14,FD,2,0,2,0.0,1.0
prompt_67,P15,FI,1,22,2,0.9166666666666666,0.08333333333333333
prompt_68,P15,FI,2,6,0,1.0,0.0
prompt_69,P15,FI,3,4,2,0.6666666666666666,0.3333333333333333
prompt_70,P16,FI,1,28,26,0.5185185185185185,0.48148148148148145
prompt_71,P16,FI,2,30,28,0.5172413793103449,0.4827586206896552
prompt_72,P16,FI,3,24,6,0.8,0.2
prompt_73,P16,FI,4,26,18,0.5909090909090909,0.4090909090909091
prompt_74,P17,FI,1,0,4,0.0,1.0
prompt_75,P17,FI,2,2,2,0.5,0.5
prompt_76,P17,FI,3,16,6,0.7272727272727273,0.2727272727272727
prompt_77,P18,FD,1,10,4,0.7142857142857143,0.2857142857142857
prompt_78,P18,FD,2,0,0,,
prompt_79,P19,FD,1,24,10,0.7058823529411765,0.29411764705882354
prompt_80,P19,FD,2,4,2,0.6666666666666666,0.3333333333333333
prompt_81,P19,FD,3,0,0,,
prompt_82,P20,FI,1,14,0,1.0,0.0
prompt_83,P20,FI,2,14,0,1.0,0.0
prompt_84,P20,FI,3,4,2,0.6666666666666666,0.3333333333333333
prompt_85,P20,FI,4,4,0,1.0,0.0
prompt_86,P21,FD,1,18,6,0.75,0.25
prompt_87,P21,FD,2,6,0,1.0,0.0
prompt_88,P22,FD,1,18,14,0.5625,0.4375
prompt_89,P22,FD,2,14,18,0.4375,0.5625
prompt_90,P23,FI,1,10,12,0.45454545454545453,0.5454545454545454
prompt_91,P23,FI,2,2,2,0.5,0.5
prompt_92,P23,FI,3,0,2,0.0,1.0
prompt_93,P23,FI,4,0,0,,
prompt_94,P26,FI,1,14,0,1.0,0.0
prompt_95,P26,FI,2,8,4,0.6666666666666666,0.3333333333333333
prompt_96,P27,FI,1,34,20,0.6296296296296297,0.37037037037037035
prompt_97,P27,FI,2,24,16,0.6,0.4
prompt_98,P28,FD,1,18,18,0.5,0.5
prompt_99,P28,FD,2,4,8,0.3333333333333333,0.6666666666666666
prompt_100,P28,FD,3,0,0,,
prompt_101,P29,FI,1,22,22,0.5,0.5
prompt_102,P29,FI,2,2,2,0.5,0.5
prompt_103,P29,FI,3,14,7,0.6666666666666666,0.3333333333333333
prompt_104,P29,FI,4,0,2,0.0,1.0
prompt_105,P29,FI,5,2,4,0.3333333333333333,0.6666666666666666
prompt_106,P29,FI,6,2,0,1.0,0.0
prompt_107,P29,FI,7,0,6,0.0,1.0
prompt_108,P29,FI,8,0,2,0.0,1.0
prompt_109,P29,FI,9,0,10,0.0,1.0
