participant_id,divergence_distance,group,convergence_slope
P1,0.7714729521278592,FD,0.050093640339413645
P10,0.7166183729124244,FD,
P11,0.7198208651112703,FI,0.11679562186864022
P12,0.28368583825459415,FI,-0.11416510345622455
P13,0.9204811240062196,FI,0.03913316049464051
P14,0.3816485547575793,FD,
P15,0.831986348960998,FI,0.36479577092211657
P16,0.4427527649006946,FI,0.24776408211712048
P17,0.6919290806185958,FI,0.1664919105995759
P18,0.9512908827136559,FD,
P19,0.7534162827145542,FD,0.02358160882504967
P2,0.5752019690180572,FD,-0.0013544273905822881
P20,0.6479964071700763,FI,0.0064089460005525845
P21,0.5562359559809157,FD,
P22,0.3810369368328388,FD,
P23,0.42401452012415053,FI,-0.15427383480526902
P26,0.49479995622002504,FI,
P27,0.30795421828932623,FI,
P28,0.9117060812360338,FD,0.30178425706668877
P29,0.8219361441709535,FI,-0.03004344559089283
P3,0.2737081303314737,FI,
P4,0.7589005389409791,FD,0.12775720472150603
P5,0.8081808654115505,FI,-0.005246700579418064
P6,0.5695126249025895,FI,
P7,0.8033091319739984,FD,-0.0022103967741289665
P8,0.754629410006298,FI,
P9,0.6739782919975283,FD,-0.0577053764554507
